Frequency,Voltage
1,4.26742798543505
1.1,4.23759398869018
1.2,3.26850402941776
1.3,3.76744119176719
1.4,3.20624115682747
1.5,2.80177048317916
1.6,3.77273280246593
1.7,2.98535779666093
1.8,3.2734133133736
1.9,2.43587832130187
2,2.87629761037708
2.1,3.40891450426603
2.2,2.71080365059671
2.3,2.9325334433912
2.4,2.35975191700457
2.5,2.69693062875478
2.6,2.29442095062175
2.7,2.47982453126174
2.8,2.21159774770847
2.9,2.25248162579631
3,2.23842661170247
3.1,1.89067177704083
3.2,2.01284324337372
3.3,1.81859223668764
3.4,2.0510432424622
3.5,1.82859537870253
3.6,1.81167283744447
3.7,1.8473095842865
3.8,1.8002525734449
3.9,1.68035640397261
4,1.68496526444382
4.1,1.40622782134885
4.2,1.8103826620485
4.3,1.69806016360543
4.4,1.77952887212155
4.5,1.14676513200308
4.6,1.34016988065649
4.7,1.22879664630987
4.8,1.1418938475722
4.9,1.38202557349964
5,1.20065447192921
5.1,0.918341791466603
5.2,1.17388661629123
5.3,0.957482909762213
5.4,1.20119481177369
5.5,0.87855998069088
5.6,1.00233980445078
5.7,0.93114074905392
5.8,0.896082801075371
5.9,0.941343677462336
6,0.784238266984399
6.1,0.842877849610786
6.2,0.989508650119871
6.3,0.844800294466424
6.4,0.724261086603867
6.5,0.715470700961993
6.6,0.795768697743748
6.7,0.687638724777622
6.8,0.790548876059111
6.9,0.71006582751689
7,0.620916135904282
7.1,0.684258436569994
7.2,0.518752094673901
7.3,0.671670124256791
7.4,0.549686587011409
7.5,0.571977800876798
7.6,0.50596981319143
7.7,0.534691492579431
7.8,0.602490622804868
7.9,0.468011678188841
8,0.486890512028746
8.1,0.426368085891801
8.2,0.440195443420164
8.3,0.443589931707298
8.4,0.425594869257765
8.5,0.462524615788586
8.6,0.451813152463702
8.7,0.423249673599188
8.8,0.3718233938934
8.9,0.357120228072501
9,0.407437611268765
9.1,0.316534664634057
9.2,0.345316321513921
9.3,0.308096135383242
9.4,0.346293922175625
9.5,0.318421253459516
9.6,0.291241777655716
9.7,0.321296530377033
9.8,0.306306675187414
9.9,0.276778683377657
10,0.21124477390265
