Frequency,Voltage
1,4.24506878105148
1.1,5.33984383674954
1.2,4.79870738856881
1.3,3.97851849417726
1.4,3.82575728796359
1.5,3.91430170484926
1.6,3.73169476280164
1.7,4.18646434857647
1.8,4.06344480674705
1.9,3.61885176203701
2,3.79059732165264
2.1,3.33919673136828
2.2,3.64104000279634
2.3,3.47755987296359
2.4,2.61811226189498
2.5,3.11995422654486
2.6,2.87440681649504
2.7,2.61675170276236
2.8,2.80908587904882
2.9,2.38362407346705
3,2.27483254193317
3.1,2.4595982307744
3.2,2.22024458366925
3.3,2.18721863964849
3.4,2.34587705253536
3.5,1.92175371533545
3.6,1.99735562415397
3.7,2.03253080582907
3.8,1.61744408974067
3.9,1.77273461912805
4,1.66551064716533
4.1,1.7120343896446
4.2,1.62096414483876
4.3,1.52896094015913
4.4,1.35580766917516
4.5,1.55851557242789
4.6,1.59288185922855
4.7,1.39145679435177
4.8,1.39166973824085
4.9,1.24068216943794
5,1.14597464542974
5.1,1.17189241801624
5.2,0.951370407378275
5.3,1.26643396179307
5.4,1.13677072683083
5.5,0.832536694230297
5.6,0.84669120865205
5.7,0.987339525761249
5.8,0.885575360406748
5.9,0.866231723484838
6,0.714686156502385
6.1,0.8201335815077
6.2,0.796185560115449
6.3,0.804442150416954
6.4,0.629061387815052
6.5,0.779292969578429
6.6,0.610976568770695
6.7,0.659929954951942
6.8,0.736767435663533
6.9,0.698371483841449
7,0.613684881742044
7.1,0.633787226123902
7.2,0.490353297553892
7.3,0.576888168350701
7.4,0.561979905335748
7.5,0.446771001702175
7.6,0.484793882467498
7.7,0.61432173284678
7.8,0.490645703941686
7.9,0.487306057749848
8,0.441407882348075
8.1,0.357216369728094
8.2,0.320247511001397
8.3,0.370860579012976
8.4,0.326075337874168
8.5,0.301603258645559
8.6,0.331810311093733
8.7,0.339165700935413
8.8,0.392857295832942
8.9,0.289180013583444
9,0.294982638865116
9.1,0.366332594320426
9.2,0.245641113822536
9.3,0.269821136624782
9.4,0.247311663744898
9.5,0.27975604613885
9.6,0.239415392629006
9.7,0.25957196005927
9.8,0.229965334515411
9.9,0.229844422773771
10,0.174031768377059
